"name","slug","governance_state","issue_type","sources","n_sources","source_adds","in_db","equivalent_to","doctrine_status","publication_status","parse_confidence","add_confidence","family","primary_operator","add_formula","parser_notes","unresolved_questions","provenance_notes"
"Frantic Legover","frantic-legover","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Freak","freak","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","medium","","toe-double-dex-?","","","","",""
"Frenzy","frenzy","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"Fume","fume","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-double-dex-clip","","","","",""
"Furnace","furnace","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","low","","inside-back-swirl-?","","","","",""
"G.Y.B.A.S.","gybas","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-whirl","","","","",""
"Gangsta Party","gangsta-party","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-spin-whirl","","","","",""
"Gary Coleman","gary-coleman","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-front-whirl-clip","","","","",""
"Genesis","genesis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","6,7","False","","","","high","","clip-front-whirl-clip","","","","",""
"Genuphobia","genuphobia","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-spin-clip","","","","",""
"Gilan","gilan","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-toe","","","","",""
"Glaucoma","glaucoma","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-multi-dex-toe","","","","",""
"Godzilla","godzilla","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-whirl","","","","",""
"Golden Shower","golden-shower","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-duck-toe","","","","",""
"Goliath","goliath","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-duck-toe","","","","",""
"Grifter","grifter","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","3","False","","","","high","","clip-single-dex-clip","","","","",""
"Guillotine","guillotine","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-duck-toe","","","","",""
"Gyro Barfly","gyro-barfly","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Gyro Blender","gyro-blender","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Gyro Butterfly","gyro-butterfly","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","4","False","gyro-butterfly (live DB)","settled","first_class_ready","none","high","no-notation","gyro","gyro(+1) + butterfly(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Gyro Butterfly' (source_adds=4; jobs='CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[bod] [dex] [xbd] [del]'); ingested 2026-05-21."
"Gyro Clipper","gyro-clipper","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Gyro DLO","gyro-dlo","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Gyro Illusion","gyro-illusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Gyro Mirage","gyro-mirage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Gyro Osis","gyro-osis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Gyro Symp Swirl","gyro-symp-swirl","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Gyro Toe","gyro-toe","3 Observationally represented","accidental omission / awaiting curator review","passback","1","2","False","","","","none","","no-notation","","","","",""
"Gyro Whirl","gyro-whirl","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Gyro Whirling Swirl","gyro-whirling-swirl","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Heart","heart","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","none","","no-notation","","","","",""
"Hurl","hurl","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-front-whirl-clip","","","","",""
"Icarus","icarus","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-duck-clip","","","","",""
"Icon","icon","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","high","","clip-spin-toe","","","","",""
"Ill Frenzy","ill-frenzy","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-toe","","","","",""
"Infinity","infinity","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3","False","","","","none","","no-notation","","","","",""
"Infinity Swirl","infinity-swirl","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Inspinning Butterfly","inspinning-butterfly","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","4","False","","settled","first_class_ready","none","high","no-notation","inspinning","inspinning(+1) + butterfly(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Inspinning Butterfly' (source_adds=4; jobs='CLIP > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[bod] [dex] [xbd] [del]'); ingested 2026-05-21."
"Inspinning Clipper","inspinning-clipper","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","3,4","False","","","","none","","no-notation","","","","",""
"Inspinning Osis","inspinning-osis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","3,4","False","","","","none","","no-notation","","","","",""
"Inspinning Paradox Illusion","inspinning-paradox-illusion","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","inspinning","inspinning(+1) + paradox-illusion(3) --> 4 ADDs","","",""
"Inspinning Paradox Mirage","inspinning-paradox-mirage","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","inspinning","inspinning(+1) + paradox-mirage(3) --> 4 ADDs","","",""
"Inspinning Same Side Butterfly","inspinning-same-side-butterfly","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","inspinning","inspinning(+1) + ss-butterfly(3?) --> 4 ADDs","","",""
"Inspinning Same Side Illusion","inspinning-same-side-illusion","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","3","False","","settled","first_class_ready","","high","","inspinning","inspinning(+1) + ss-illusion(2) --> 3 ADDs","pt3+pt7 inspinning is distinct from spinning (opposite spin direction). Alt notation: TOE > (front) SPIN [BOD] > SAME OUT [DEX] > OP TOE [DEL].","",""
"Inspinning Same Side Mirage","inspinning-same-side-mirage","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","3","False","","settled","first_class_ready","","high","","inspinning","inspinning(+1) + ss-mirage(2) --> 3 ADDs","pt3+pt7 inspinning. Alt notation: TOE > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL].","",""
"Irish Cream","irish-cream","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-spin-clip","","","","",""
"Irish Spring","irish-spring","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-clip","","","","",""
"Jacknife","jacknife","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-dive-clip","","","","",""
"Janiwalker","janiwalker","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","5","False","","","","high","","clip-walk-clip","","","","",""
"Joan","joan","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-toe","","","","",""
"Johny Quest","johny-quest","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-spin-toe","","","","",""
"Johny Vodka","johny-vodka","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-spin-clip","","","","",""
"Juggernaut","juggernaut","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"Juno Reactor","juno-reactor","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-front-whirl-clip","","","","",""
"Kill Frenzy","kill-frenzy","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-toe","","","","",""
"Kiss Of The Scorpion","kiss-of-the-scorpion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-spin-clip","","","","",""
"Kiwi","kiwi","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-clip","","","","",""
"Kyttyrä","kyttyrä","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","none","","no-notation","","","","",""
"Lawnmoir","lawnmoir","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-clip","","","","",""
"Leaning Jowler","leaning-jowler","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-spin-toe","","","","",""
"Legbreaker","legbreaker","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-to-clip","","","","",""
"Legfreezer","legfreezer","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","medium","","?-double-dex-clip","","","","",""
"Leviathan","leviathan","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-duck-clip","","","","",""
"Liquifier","liquifier","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-spin-whirl","","","","",""
"Little Apple","little-apple","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","clip-spin-toe","","","","",""
"Locomotion","locomotion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","6","False","","","","high","","clip-spin-clip","","","","",""
"Lotus","lotus","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","5","False","","settled","first_class_ready","high","high","clip-spin-clip","spinning","spinning(+1) + paradox-drifter(4) --> 5 ADDs","","","FB.org 5-ADD confirms 'Lotus' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Macon Bacon","macon-bacon","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-clip","","","","",""
"Maelstrom","maelstrom","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-spin-whirl","","","","",""
"Majello","majello","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-whirl","","","","",""
"Margaritaville","margaritaville","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-spin-whirl","","","","",""
"Massacre","massacre","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-xdex-toe","","","","",""
"Maverick","maverick","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-spin-clip","","","","",""
"Merlin","merlin","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","4,5","False","","","","high","","toe-xdex-toe","","","","",""
"Miraging Eclipse","miraging-eclipse","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","dex","miraging(+1) + eclipse(3) --> 4 ADDs","Miraging modifier on eclipse base.","",""
"Moby Dick","moby-dick","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-spin-whirl","","","","",""
"Mofly","mofly","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-multi-dex-clip","","","","",""
"Moirius","moirius","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-spin-whirl","","","","",""
"Morpheus","morpheus","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-spin-clip","","","","",""
"Motion","motion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves,passback","2","5","False","","","","high","","toe-spin-clip","","","","",""
"Motion Sickness","motion-sickness","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","clip-spin-clip","","","","",""
"Muerto","muerto","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-clip","","","","",""
"MXZYPTLK","mxzyptlk","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Nallegam","nallegam","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","high","","toe-double-dex-toe","","","","",""
"Nebula","nebula","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-multi-dex-toe","","","","",""
"Nemesis Swirl","nemesis-swirl","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","none","","no-notation","","","","",""
"Neutron Smasher","neutron-smasher","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-spin-toe","","","","",""
"Nobius","nobius","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-clip","","","","",""
"Nuclear Illusion","nuclear-illusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Nuclear Legover","nuclear-legover","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Nuclear Pickup","nuclear-pickup","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Nullwalk","nullwalk","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-walk-clip","","","","",""
"Ocean","ocean","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-clip","","","","",""
"Odula","odula","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-dive-whirl","","","","",""
"Oh Wheely","oh-wheely","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-multi-dex-toe","","","","",""
"Omelette Du Fromage","omelette-du-fromage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-toe","","","","",""
"Original Barroque","original-barroque","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","clip-spin-clip","","","","",""
"Orpheus","orpheus","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-multi-dex-clip","","","","",""
"Osmosis","osmosis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-spin-clip","","","","",""
"Overlord","overlord","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","toe-spin-whirl","","","","",""
"Pandemonium","pandemonium","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"Pandora`s Box","pandora`s-box","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","high","","clip-spin-toe","","","","",""
"Paradon Swirl","paradon-swirl","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","dex","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","","",""
"Paradox Barrage","paradox-barrage","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + barrage(3) --> 4 ADDs","Paradox modifier on barrage base.","",""
"Paradox Blizzard","paradox-blizzard","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + blizzard(3) --> 4 ADDs","Paradox modifier on blizzard (= quantum illusion) base.","",""
"Paradox Da Da Curve","paradox-da-da-curve","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + dada-curve(4) --> 5 ADDs","","",""
"Paradox Double Leg Over","paradox-double-leg-over","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + DLO(3) --> 4 ADDs","","",""
"Paradox High Plains Drifter","paradox-high-plains-drifter","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + high-plains-drifter(4) --> 5 ADDs","","",""
"Paradox Illusion","paradox-illusion","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","3","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + dex(1) + stall(1) --> 3 ADDs","Paradox operator on illusion base. Source notation has typo ""[PDX[DEX]"" (missing closing bracket); intended ""[PDX] [DEX]"".","",""
"Paradox Ripwalk","paradox-ripwalk","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + ripwalk(4) --> 5 ADDs","","",""
"Paradox Symposium Mirage","paradox-symposium-mirage","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + symposium-mirage(3) --> 4 ADDs","Paradox + symposium on mirage base.","",""
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Paradox Whirling Rake","paradox-whirling-rake","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Paradox Whirling Swirl","paradox-whirling-swirl","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","paradox","paradox(+1) + whirling-swirl(4) --> 5 ADDs","","",""
"Parallax","parallax","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","high","","clip-spin-toe","","","","",""
"Paratoxic","paratoxic","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","6","False","","settled","first_class_ready","high","high","clip-front-whirl-clip","paradox","paradox(+1) + symposium(+1) + whirl(3) + ?--> 6 ADDs","","","FB.org 6-ADD confirms 'Paratoxic' (source_adds=6; jobs='CLIP > SAME IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL]'); ingested 2026-05-21."
"Park Avenue","park-avenue","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-double-dex-clip","","","","",""
"Pdx Dada Curve","pdx-dada-curve","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Pdx DLO","pdx-dlo","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pdx Illusion","pdx-illusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Pdx Whirling Swirl","pdx-whirling-swirl","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Phase","phase","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-back-swirl-toe","","","","",""
"Philibuster","philibuster","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"Phobia","phobia","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-spin-clip","","","","",""
"Pixie Double Over Down","pixie-double-over-down","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","pixie","pixie(+1) + double-over-down(4) --> 5 ADDs","","",""
"Pixie Double Pickup (ss)","pixie-double-pickup","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Pixie DSO","pixie-dso","3 Observationally represented","accidental omission / awaiting curator review","passback","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Ducking Legover","pixie-ducking-legover","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Ducking Mirage","pixie-ducking-mirage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Ducking Pickup","pixie-ducking-pickup","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Eclipse","pixie-eclipse","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","pixie","pixie(+1) + eclipse(3) --> 4 ADDs","","",""
"Pixie Eggbeater","pixie-eggbeater","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Leg Over","pixie-leg-over","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","3","False","","settled","first_class_ready","","high","","pixie","pixie(+1) + legover(2) --> 3 ADDs","Pixie modifier on legover base.","",""
"Pixie Legover","pixie-legover","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Pixie Opposite Clipper","pixie-opposite-clipper","3 Observationally represented","accidental omission / awaiting curator review","fborg","1","3","False","","settled","candidate","","medium","","pixie","pixie(+1) + clipper-stall(2) --> 3 ADDs","Pixie modifier with opposite-side clipper terminator.","",""
"Pixie Osis","pixie-osis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-spin-clip","","","","",""
"Pixie Paradon","pixie-paradon","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","5","False","","settled","first_class_ready","","high","","pixie","pixie(+1) + paradon(4) --> 5 ADDs","","",""
"Pixie Pickup","pixie-pickup","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Pixie Quantum Butterfly","pixie-quantum-butterfly","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Pixie Same Clipper","pixie-same-clipper","3 Observationally represented","accidental omission / awaiting curator review","fborg","1","3","False","","settled","candidate","","medium","","pixie","pixie(+1) + clipper-stall(2) --> 3 ADDs","Pixie modifier with same-side clipper terminator.","",""
"Pixie Same Side Illusion","pixie-same-side-illusion","3 Observationally represented","accidental omission / awaiting curator review","fborg","1","3","False","","settled","candidate","","medium","","pixie","pixie(+1) + ss-illusion(2) --> 3 ADDs","Pixie modifier with same-side illusion variant. Less common.","",""
"Pixie Swirl","pixie-swirl","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","pixie","pixie(+1) + swirl(3) --> 4 ADDs","","",""
"Pixie Symposium Illusion","pixie-symposium-illusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Symposium Mirage","pixie-symposium-mirage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pixie Torque","pixie-torque","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","none","","no-notation","","","","",""
"Pixie Whirl","pixie-whirl","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","footbagmoves","1","4","False","pixie-whirl (live DB)","settled","first_class_ready","none","high","no-notation","pixie","pixie(+1) + whirl(3) --> 4 ADDs","","","FB.org 4-ADD confirms 'Pixie Whirl' (source_adds=4; jobs='TOE > SAME IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"PLO","plo","3 Observationally represented","accidental omission / awaiting curator review","passback","1","3","False","","","","none","","no-notation","","","","",""
"POD","pod","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-clip","","","","",""
"Porque","porque","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-spin-clip","","","","",""
"Predator","predator","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-multi-dex-toe","","","","",""
"PS Illusion","ps-illusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"PS Mirage","ps-mirage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Pteradon","pteradon","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","medium","","toe-double-dex-?","","","","",""
"Puck","puck","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-duck-toe","","","","",""
"Quagmire","quagmire","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","high","","toe-spin-toe","","","","",""
"Quantanamera","quantanamera","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","5","False","","","","high","","toe-duck-clip","","","","",""
"Quantum Butterfly (same side)","quantum-butterfly","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Quantum Drifter","quantum-drifter","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","quantum","quantum(+1) + drifter(3) --> 4 ADDs","","",""
"Quantum Illusion","quantum-illusion","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Quantum Legover","quantum-legover","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Quantum Mirage","quantum-mirage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Quantum Osis","quantum-osis","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","4","False","","","","none","","no-notation","","","","",""
"Quantum Pickup (same side)","quantum-pickup","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","3","False","","","","none","","no-notation","","","","",""
"Quantum Whirl","quantum-whirl","3 Observationally represented","accidental omission (publication-ready, not yet promoted)","fborg","1","4","False","","settled","first_class_ready","","high","","quantum","quantum(+1) + whirl(3) --> 4 ADDs","","",""
"Quark","quark","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","6","False","","","","high","","toe-spin-clip","","","","",""
"Rage","rage","3 Observationally represented","accidental omission / awaiting curator review","footbagmoves","1","7","False","","","","high","","clip-multi-dex-toe","","","","",""
