slug,source,external_name,ifpa_add,external_add,delta,operator_tokens,governing_rule,difference_type,severity,recommended_action,slice_q_category,slice_q_action,slice_q_notes,pending_red,curator_action,notes
superfly,passback,Superfly,5,2 (dex_count),,Clipper|far|Symp.|Double|Down,,unresolved-tokens,medium,defer; needs operator definition for: down,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
surge,passback,Surge,5,2 (dex_count),,Surging|far|Mirage,,unresolved-tokens,medium,defer; needs operator definition for: surging,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
surreal,passback,Surreal,6,2 (dex_count),,Surging|far|Whirl,,unresolved-tokens,medium,defer; needs operator definition for: surging,folk-stabilization,no-action-pending-curator,row is in UNRESOLVED_COMPOUNDS allow-list; folk-derived,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
swirl,passback,Swirl,3,1 (dex_count),,xbd|leggy|out|dex|ss|clipper,,unresolved-tokens,medium,"defer; needs operator definition for: xbd,leggy,out,dex",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tap,passback,Tap,3,2 (dex_count),,Atomic|near|Mirage,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
terrage,passback,Terrage,4,2 (dex_count),,"Toe|near|Barrage|double-dex|""Pixie""",,unresolved-tokens,medium,"defer; needs operator definition for: toe,barrage,double-dex,""pixie""",hidden-dex-discrepancy,curator-decide-post-wave2,X-dex or multi-dex marker detected; preservation rule pending Wave 2,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
quantum,passback,Toe Blur,2,2 (dex_count),,Quantum|far|Mirage,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tomahawk,passback,Tomahawk,5,1 (dex_count),,Clipper|Ducking|far|Whirl,,unresolved-tokens,medium,defer; needs operator definition for: clipper,folk-stabilization,no-action-pending-curator,row is in UNRESOLVED_COMPOUNDS allow-list; folk-derived,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tombstone,passback,Tombstone,4,2 (dex_count),,Stepping|near|Drifter,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
torque,passback,Torque,4,1 (dex_count),,Miraging|far|Osis,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
tripwalk,passback,Tripwalk,4,2 (dex_count),,Quantum|far|Butterfly,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
venom,passback,Venom,6,3 (dex_count),,Surging|far|Double|Down,,unresolved-tokens,medium,"defer; needs operator definition for: surging,down",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
vortex,passback,Vortex,4,1 (dex_count),,Spinning|near|Drifter,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
walk-over,passback,Walkover,2,,,Inside|Stall|place|foot|on|ground|step|over|into|Clipper|or|reverse|direction,,unresolved-tokens,medium,"defer; needs operator definition for: inside,stall,place,foot,on,ground,step,over,into,or,direction",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
rev-whirl,passback,Whip,3,1 (dex_count),,Rev.|Whirl,,unresolved-tokens,medium,defer; needs operator definition for: rev,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
whirl,passback,Whirl,3,1 (dex_count),,leggy|in|dex|ss|clipper,,unresolved-tokens,medium,"defer; needs operator definition for: leggy,in,dex",unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
spinning-symposium-whirl,passback,Whirlwind,5,1 (dex_count),,Spinning|far|Symp.|Whirl,,pb-metric-mismatch-structurally-agree,low,PassBack dex_count differs from ADD (different metric); IFPA-computed-on-PB-notation matches IFPA stated,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
around-the-world,passback,ATW,2,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
clipper,passback,Clipper,1,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
double-leg-over,passback,DLO,3,,,,,agree-pb-structural,low,no action,branch-family-implicit,curator-decide-post-wave2,slug or operator references a branch-family-recognized/candidate row,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
double-around-the-world,passback,Double ATW,3,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
eggbeater,passback,Eggbeater,3,,,Illusioning|Legover,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
flurry,passback,Flurry,4,,,Barraging|Legover,,agree-pb-structural,low,no action,unresolved-pending-red,wave2-blocked,operator_tokens contains Wave 2 dependency: barraging|legover,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
illusion,passback,Illusion,2,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
legover,passback,Legover,2,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
magellan,passback,Magellan,3,,,Pixie|ss|Legover,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
mirage,passback,Mirage,2,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pickup,passback,Pickup,2,,,,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
pigbeater,passback,Pigbeater,4,,,Pixie|op|Eggbeater,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smear,passback,Smear,3,,,Pixie|op|Mirage,,agree-pb-structural,low,no action,unclassified,curator-review,no classifier rule matched; curator decides,false,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
smog,passback,Smog,4,,,Pixie|op|DLO,,unresolved-tokens,medium,defer; needs operator definition for: dlo,unresolved-pending-red,wave2-blocked,matrix-flagged red_needed=yes,true,,pb_dex_count vs ifpa_adds metric mismatch is expected (dex_count != ADD)
