name,slug,heading,source,sources,parser,doctrine,ledger,ledger_sub,resolves_to,complete_trick,exec_known,decomp_known,add_derivable,actionable,question,owner,disposition
double-dex ATW,double-dex-atw,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
double-dex Twist,double-dex-twist,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Far Double Switchover,far-double-switchover,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Far Triple Over Down,far-triple-over-down,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Flailing Blacula,flailing-blacula,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Flaming Homer,flaming-homer,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Flaming Tard,flaming-tard,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Flaring Butterfly,flaring-butterfly,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Frantic Clipper,frantic-clipper,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Frenzy,frenzy,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Frozen Butterfly,frozen-butterfly,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Full Symp Kiwi,full-symp-kiwi,"Community names, structure not yet recovered",PB,passback,ambiguous-terminal-mechanic,stable,folk/F,,,N,N,N,N,N,ruled unrulable (no footage; source self-contradiction),none,REJECT (adjudicated)
Fusing Clipper,fusing-clipper,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Grifter (same side),grifter-same-side,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Gryo DLO,gryo-dlo,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Ill Frenzy,ill-frenzy,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Illusioning Clipper (Grifter),illusioning-clipper-grifter,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,blocked,folk/F,,alias:grifter->reverse_drifter,Y,Y,Y,Y,N,resolves to alias:grifter->reverse_drifter; register alias if missing,mechanical,LIVE-IDENT (suppress)
Illusioning far Clipper,illusioning-far-clipper,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,blocked,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
In(-Out) Dex,in-out-dex,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Inside Stall moved to Clipper Stall,inside-stall-moved-to-clipper-stall,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"source fragment, not a trick name",mechanical,REJECT (malformed)
Johny Quest,johny-quest,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Johny Vodka,johny-vodka,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Jolimont ss Mirage,jolimont-ss-mirage,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Kill Frenzy,kill-frenzy,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Kiss Of The Scorpion,kiss-of-the-scorpion,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Leaning Jowler,leaning-jowler,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Mama Curve,mama-curve,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Massacre,massacre,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,folk name; no structure recovered,none (archive),OBSERVATIONAL ARCHIVE
Midtime Toe near Illusion,midtime-toe-near-illusion,"Community names, structure not yet recovered",PB,passback,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Midtime Toe near Mirage,midtime-toe-near-mirage,"Community names, structure not yet recovered",PB,passback,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Neutron Smasher,neutron-smasher,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Null Butterfly,null-butterfly,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Out(-In) Dex,out-in-dex,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Peeking Osis,peeking-osis,"Community names, structure not yet recovered",SG,stanford,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Pixie ss Original Tap,pixie-ss-original-tap,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Pyro Torque,pyro-torque,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Quasi Whirl,quasi-whirl,"Community names, structure not yet recovered",SG,stanford,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Rasmus,rasmus,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Rev. Big Apple,rev-big-apple,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Reverse Walkover,reverse-walkover,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Rooting/Rooted,rooting-rooted,"Community names, structure not yet recovered",FB,fborg,ambiguous-terminal-mechanic,blocked,folk/F,,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
S&M Smasher,sandm-smasher,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,,,,Y,N,Y,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Scattered Whirl,scattered-whirl,"Community names, structure not yet recovered",SG,stanford,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Scorpions Toe Nail,scorpions-toe-nail,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Slapping,slapping,"Community names, structure not yet recovered",FB,fborg,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Slapping Clipper,slapping-clipper,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Slapping DLO,slapping-dlo,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Smiling Far Butterfly,smiling-far-butterfly,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Spitfire,spitfire,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Splicing Infinity,splicing-infinity,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Spyro Symposium Torquescrew,spyro-symposium-torquescrew,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Super Ego,super-ego,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Symple ATW,symple-atw,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Symple Reverse ATW,symple-reverse-atw,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Symposium Bubba Beater,symposium-bubba-beater,"Community names, structure not yet recovered",SG,stanford,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe far Double Down,toe-far-double-down,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,Y,assign the cell from the toe-set + far markers,James,JAMES (down-family cell call)
Toe midtime near Whirr,toe-midtime-near-whirr,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe near Double Down,toe-near-double-down,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,Y,assign the cell from the toe-set + near markers,James,JAMES (down-family cell call)
Toe near Triage,toe-near-triage,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe set os Double Over Down,toe-set-os-double-over-down,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,Y,assign the cell from the toe-set + os markers,James,JAMES (down-family cell call)
Toe set os Double Over Down Dragon,toe-set-os-double-over-down-dragon,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe set os Double Over Down Flapper,toe-set-os-double-over-down-flapper,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe set os Double Over Downing Osis,toe-set-os-double-over-downing-osis,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe set os Triple Over Down,toe-set-os-triple-over-down,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe set ss Triple Over Down,toe-set-ss-triple-over-down,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,policy-dependent,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Toe Stall dragged from Xbd position,toe-stall-dragged-from-xbd-position,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"source fragment, not a trick name",mechanical,REJECT (malformed)
Torquescrew,torquescrew,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Triple ATW in-out,triple-atw-in-out,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Triple ATW out-in,triple-atw-out-in,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Triple Reverse ATW,triple-reverse-atw,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
triple-dex ATW,triple-dex-atw,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Twinspinning (nuclear inspinning),twinspinning-nuclear-inspinning,"Community names, structure not yet recovered",FB,fborg,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Twisting near Toe,twisting-near-toe,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
UNS set,uns-set,"Community names, structure not yet recovered",FB,fborg,folk-name-opacity,stable,folk/F,,,N,N,N,N,N,"set/operator/notation term; home is the operator reference, not the trick backlog",mechanical,NOT-A-TRICK (operator/term)
Warped DLO,warped-dlo,"Community names, structure not yet recovered",SG,stanford,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Whipping Osis,whipping-osis,"Community names, structure not yet recovered",PB,passback,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Whirlwind Swirl,whirlwind-swirl,"Community names, structure not yet recovered",PB,passback,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Wiggle Butterfly,wiggle-butterfly,"Community names, structure not yet recovered",FM,footbagmoves,unknown-modifier-token,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Xbd Outside Stall,xbd-outside-stall,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Xbd Sole Stall,xbd-sole-stall,"Community names, structure not yet recovered",PB,passback,folk-name-opacity,stable,folk/F,,,Y,N,N,N,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Your Mom,your-mom,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Your Sister,your-sister,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
Zulu Le Loup,zulu-le-loup,"Community names, structure not yet recovered",FM,footbagmoves,folk-name-opacity,stable,folk/F,,,Y,N,N,Y,N,"no recoverable structure; keep as documented vocabulary, not backlog",none (archive),OBSERVATIONAL ARCHIVE
84 / Wiggle Walk,84-wiggle-walk,Alias / duplicate archive,FM,footbagmoves,folk-name-opacity,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Aeon Flux / Nucleosis,aeon-flux-nucleosis,Alias / duplicate archive,FM,footbagmoves,unknown-modifier-token,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Arctic (frigidosis Pixie),arctic-frigidosis-pixie,Alias / duplicate archive,FB,fborg,folk-name-opacity,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Arctic Butterfly (Arc Walk),arctic-butterfly-arc-walk,Alias / duplicate archive,SG,stanford,unknown-modifier-token,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Blacula (Your Mom),atomic-blacula-your-mom,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Butterfly Swirl (Leg Beater Swirl),atomic-butterfly-swirl-leg-beater-swirl,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Ducking Butterfly (Atomic Warrior),atomic-ducking-butterfly-atomic-warrior,Alias / duplicate archive,SG,stanford,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Ducking DLO (Tunguska),atomic-ducking-dlo-tunguska,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Ducking Motion (Mont Royal),atomic-ducking-motion-mont-royal,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Dyno (Corkscrew),atomic-dyno-corkscrew,Alias / duplicate archive,SG,stanford,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic far Butterfly,atomic-far-butterfly,Alias / duplicate archive,PB,passback,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Gyro Symposium Whirl (Crossfire),atomic-gyro-symposium-whirl-crossfire,Alias / duplicate archive,SG,stanford,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Legover (Egg Plant),atomic-legover-egg-plant,Alias / duplicate archive,SG,stanford,,stable,,,alias:eggplant->eggbeater,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic Mirage (Atom Smasher),atomic-mirage-atom-smasher,Alias / duplicate archive,SG,stanford,,stable,,,canon:atom_smasher,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic near Butterfly,atomic-near-butterfly,Alias / duplicate archive,PB,passback,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Atomic ss Osis,atomic-ss-osis,Alias / duplicate archive,FM,footbagmoves,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Baragging far Symp. Mirage,baragging-far-symp-mirage,Alias / duplicate archive,PB,passback,unknown-modifier-token,stable,alias/A,,rage,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Barraging far Osis,barraging-far-osis,Alias / duplicate archive,PB,passback,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Big Apple Sauce / Chilly Pilly Sauce,big-apple-sauce-chilly-pilly-sauce,Alias / duplicate archive,FM,footbagmoves,folk-name-opacity,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Blazing Whirl (Whirl Walk),blazing-whirl-whirl-walk,Alias / duplicate archive,SG,stanford,,stable,alias/A,,alias:whirlwalk->whirling_whirl,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Blistering (Whirling Gyro),blistering-whirling-gyro,Alias / duplicate archive,FB,fborg,folk-name-opacity,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Broken (clipper reverse whirl),broken-clipper-reverse-whirl,Alias / duplicate archive,FB,fborg,folk-name-opacity,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Bubba Butterfly (Mxyzptlk),bubba-butterfly-mxyzptlk,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Bubba Flail (Massacre),bubba-flail-massacre,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Bubba Legover (Bubba Beater),bubba-legover-bubba-beater,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Bubba PS Eggbeater (Chainsaw Massacre),bubba-ps-eggbeater-chainsaw-massacre,Alias / duplicate archive,SG,stanford,ambiguous-terminal-mechanic,stable,alias/A,,canon:chainsaw_massacre,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Butterfly Dragon (Firefly),butterfly-dragon-firefly,Alias / duplicate archive,SG,stanford,unknown-modifier-token,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Butterfly Flapper (Buttersole) (Sole Train),butterfly-flapper-buttersole-sole-train,Alias / duplicate archive,SG,stanford,unknown-modifier-token,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
"Calf Stall w/ leg in ""Whirl"" position",calf-stall-w-leg-in-whirl-position,Alias / duplicate archive,PB,passback,unknown-modifier-token,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Clipper far (downtime) Miraging Symp. Mirage,clipper-far-downtime-miraging-symp-mirage,Alias / duplicate archive,PB,passback,,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
Crossbody Rake (XBD Rake),crossbody-rake-xbd-rake,Alias / duplicate archive,SG,stanford,unknown-modifier-token,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
DATW/Double ATW,datw-double-atw,Alias / duplicate archive,PB,passback,folk-name-opacity,stable,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
DDD/Down Double Down,ddd-down-double-down,Alias / duplicate archive,PB,passback,folk-name-opacity,policy-dependent,alias/A,,same-formula-row,Y,Y,Y,Y,N,already resolved: lookup archive,mechanical,LIVE-IDENT (alias archive)
