trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Stepping Blender (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Ducking Butterfly (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Ducking Far Double Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Sumo,footbagmoves,nuclear mirage,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Sunilwalker,footbagmoves,Barraging Butterfly (same side),policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Superfly,footbagmoves,Symposium Barfly,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Supernova,footbagmoves,Spyro Nova,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: spyro,nova",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Surge,footbagmoves,surging paradox mirage,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Swivel,footbagmoves,Symposium Twirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Symposium Down Double Down,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Tapwater,footbagmoves,Tapping Twirl,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: twirl,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Tobius,footbagmoves,Toe set Gyro Torque,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Tomahawk,footbagmoves,ducking paradox whirl,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Tornado,footbagmoves,Twinspinning ss Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: twinspinning,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Torquescrew,footbagmoves,Miraging Dyno,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Trixie,footbagmoves,Triple Pixie,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Trochus,footbagmoves,Atomic Flail,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flail,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Tutifruti,footbagmoves,Frootie Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: frootie,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Vertigo,footbagmoves,Ducking Paradox Drifter,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Wentletrappe,footbagmoves,Fyro Double Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: fyro,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Whirlwalk,footbagmoves,Blazing Paradox Whirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Whisk,footbagmoves,Paradox Symposium Eggbeater,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Yoda,footbagmoves,Pixie Quantum Butterfly,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Zulu Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Alex Zerbe is the greatest,footbagmoves,Spyro Symple Drifter,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: spyro,symple",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Arcwalk,footbagmoves,Arctic Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: arctic,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Assassin,footbagmoves,Pixie Ducking Mirage,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Atomic Butterfly (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic ss Osis,footbagmoves,Tapping Osis,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Barfly,footbagmoves,Far Double Over Down,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Barfry,footbagmoves,nuclear butterfly | paradox atomic butterfly,exact_formula,divergent,structurally_placed,none,external formula matches an IFPA chain reading,no_action,false,false,tier_a_canonical_exact,
Blaze,footbagmoves,Blazing Mirage,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blender,footbagmoves,whirling osis,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
84,footbagmoves,Wiggle Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: wiggle,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Aeon Flux,footbagmoves,Nuclear Osis,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Amadeus,footbagmoves,Gyro Dada Curve,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: dada,curve",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Arachnophobia,footbagmoves,Stepping Diving Double Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Atomic DLO,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Drifter,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Avalanche,footbagmoves,Stepping Ducking Pdx Illusion,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: pdx,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Barroque,footbagmoves,Barraging Osis,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Bedwetter,footbagmoves,Blurry Eggbeater,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Bigwalk,footbagmoves,surging butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
69,footbagmoves,Nuclear Drifter,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Anoxia,footbagmoves,Spinning Ducking Paradox Symposium Mirage,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Arch Nemesis,footbagmoves,Barraging ss Double Double Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Atom Bomb,footbagmoves,Flailing Symposium Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Big Apple,footbagmoves,Gyro Symposium Torque,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Bill & Ted`s Bogus Journey,footbagmoves,Flailing ss Symposium Double Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flailing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Blurrage,footbagmoves,Blurry Barrage,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Colossus,footbagmoves,Spyro Diving Symposium Whirl,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Compound Fracture,footbagmoves,Railing ss Double Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Cristal,footbagmoves,Quantum Ducking Whirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Alpine Big Apple,footbagmoves,Gyro Ducking Symposium Torque,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Apocalypse,footbagmoves,Pixie Miraging Symposium Miraging Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Atomotion,footbagmoves,Atomic Motion,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: motion,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Big Papa Smurf,footbagmoves,Surfing ss Blender,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: surfing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Bill & Ted`s Excellent Adventure,footbagmoves,Flailing ss Symposium Eggbeater,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flailing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Blue Widow,footbagmoves,Pixie Spinning Paradox Symposium Whirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Blurry Chainsaw Massacre,footbagmoves,Blurry Illusioning Paradox Symposium Eggbeater,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Chainsaw Massacre,footbagmoves,Bubba Paradox Symposium Eggbeater,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Clown Face,footbagmoves,Furious Eggbeater,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Cold Fusion,footbagmoves,Nuclear Double Over Down,approximate_formula,external_only,structurally_placed,partial_recognition,Slice R canonical-gap; some operators not in IFPA registry,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Dorshanatrix,footbagmoves,Railing Symposium Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Floatation,footbagmoves,Floating Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: floating,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Flying Fish,footbagmoves,Railing Ducking Mirage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Gangsta Party,footbagmoves,Spinning Ducking Paradox Blender,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Gauntlet,footbagmoves,blurry ducking torque | stepping ducking paradox torque,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Genesis,footbagmoves,Furious Whirl,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Genuphobia,footbagmoves,Fairy Spyro Symposium Torque,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Icarus,footbagmoves,Atomic Ducking Torque,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Kyttyrä,footbagmoves,Far Whirling Bent Symposium Swirling Osis,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: bent,swirling",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Liquifier,footbagmoves,Splicing ss Blender,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: splicing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Margaritaville,footbagmoves,Surging Paradox Blender,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Moirius,footbagmoves,Spyro Symposium Torquescrew,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: spyro,torquescrew",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Montage,footbagmoves,spinning ducking paradox symposium whirl,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Nebula,footbagmoves,Furious Double Legover,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Nemesis Swirl,footbagmoves,Barraging Barfly Swirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Odula,footbagmoves,Blurry Zulu Blender,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Oh Wheely,footbagmoves,Nuclear Nova,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: nova,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Overlord,footbagmoves,Pixie Spinning Paradox Blender,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Rage,footbagmoves,Furious Symposium Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Rail Warrior,footbagmoves,Railing Ducking Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: railing,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Redwetter,footbagmoves,Shooting Eggbeater,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: shooting,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Sasquatch,footbagmoves,Blurry Symposium Whirling XBD Rake,policy_dependent_formula,external_only,unknown,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,Wave-2 operator vocabulary present (fairy/barraging/blurry)
Stepping Ducking PS Whirl,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Super Ego,footbagmoves,Atomic Ducking Blender,policy_dependent_formula,external_only,branch_family_implicit,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Superdeeduperfly,footbagmoves,Spinning Ducking Symposium Double Over Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Swirlwind,footbagmoves,Spinning Paradox Symposium Whirling Swirl,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Syberian Express,footbagmoves,Stepping Ducking Far Motion,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: motion,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Warp,footbagmoves,Warping Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Your Mom,footbagmoves,Atomic os Symposium Double Over Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Surging Ducking Paradox Torque,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Your Sister,footbagmoves,Flailing ss Symposium Double Over Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Big Apple Sauce,footbagmoves,Spinning Paradox Miraging Symposium Torque,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Carousel,footbagmoves,Surging Ducking Paradox Symposium Whirling Rake,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: rake,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Alpine Blurry Whirl,footbagmoves,Stepping Whirl (op) (ducking),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Alpine Magellan,footbagmoves,Pixie Legover (ss) (diving),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Alpine PLO,footbagmoves,Pixie Legover (op) (ducking),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Alpine Paste,footbagmoves,Pixie Pickup (op) (ducking),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Alpine Paste,footbagmoves,Pixie Pickup (op) (ducking),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Alpine Pigbeater,footbagmoves,Pixie Eggbeager (ducking) (op),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: eggbeager,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Alpine Smog,footbagmoves,Pixie DLO (op) (ducking),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dlo,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Alpine Smudge,footbagmoves,Pixie Illusion (ducking) (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Assassin,footbagmoves,Pixie Mirage (op) (ducking),approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Assassin (ss),footbagmoves,Pixie Mirage (ss) (diving),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Atomic Pickup,footbagmoves,Atomic Pickup (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
BS Magellan,footbagmoves,Pixie Legover (ss) (symp),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: symp,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
BS Paste,footbagmoves,Pixie Pickup (op) (symp),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: symp,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Bladerunner,footbagmoves,Atomic Eggbeater (op),approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blazing Butterfly,footbagmoves,Whirling Butterfly (ss),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Blink,footbagmoves,Swirling Toe (op) (rev),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Blurry Drifter,footbagmoves,Stepping Drifter (op),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Butterfly Swirl,footbagmoves,Butterfly Swirl (ss),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
DDD,footbagmoves,Double down (ss),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: down,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
DSO,footbagmoves,Legover (double) (op),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
DSO,footbagmoves,Legover (double) (op),policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Diving Clipper,footbagmoves,Diving Clipper (ss),observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: clipper,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Diving Mirage,footbagmoves,Mirage (diving) (ss),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Diving Osis,footbagmoves,Osis (diving) (ss),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Diving Smudge,footbagmoves,Pixie Illusion (diving) (ss),approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
